experiment,startinf,startsup,endinf,endsup,duration
ctrlAE,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-07-01 00:00:00,2301-01-01 00:00:00,286
expAE01,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
expAE02,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
expAE03,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
expAE04,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
expAE05,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
expAE06,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
expAE07,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
expAE08,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
expAE09,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
expAE10,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
expAE11,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
expAE12,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
expAE13,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
expAE14,2015-01-01 00:00:00,2016-01-02 00:00:00,2300-06-30 00:00:00,2301-01-01 00:00:00,286
